length,interval
1,ra
1,so#
2,so#
1,ra
1,so#
2,so#
1,ra
1,so#
2,so#
2,re
1,do#
1,mu
1,si
1,ra
2,ra
1,si
1,ra
2,ra
1,si
1,ra
2,ra
1,ra
1,so#
1,fa#
1,mu
1,fa#
1,mi
2,re#
1,re#
1,do#
2,si0
1,fa#
1,mi
2,mi
1,si
1,ra
1,ra
1,mu
1,si
1,ra
2,so#
1,ra
1,so#
2,fa#
1,so#
1,fa#
4,mi
2,mu
1,ra
1,so#
2,so#
1,ra
1,so#
2,so#
1,ra
1,so#
2,so#
2,re
1,do#
1,mu
1,si
1,ra
2,ra
1,si
1,ra
2,ra
1,si
1,ra
2,ra
1,ra
1,so#
1,fa#
1,mu
1,fa#
1,mi
2,re#
1,re#
1,do#
2,si0
1,fa#
1,mi
2,mi
1,si
1,ra
1,mi2
1,mu
1,ra
1,so#
2,so#
1,ra
1,so#
2,fa#
1,so#
1,fa#
4,mi
4,mu
1,do
1,re
2,mi
1,mi
1,do
2,re
2,so
1,do
2,mu
1,do
1,re
1,mi
1,fa
2,so
1,ra
1,si
2,do2
1,ra
1,so
4,so
2,mu
2,so
1,fa
1,mi
1,re
1,do
1,do
1,do
2,so
1,fa
1,mi
1,re
1,do
1,do
1,mu
1,do
1,re
2,mi
1,so
1,so
1,fa#
1,so
1,ra
1,fa
4,so
4,mu
1,do
1,re
2,mi
1,mi
1,do
2,re
2,so
2,do
2,mu
1,do
1,re
1,mi
1,fa
2,so
1,ra
1,si
2,do2
1,ra
1,so
4,so
2,mu
1,so
1,so
1,fa
1,mi
1,re
1,do
1,do
1,mu
2,so
1,fa
1,mi
1,re
1,do
1,do
1,mu
1,do
1,re
2,mi
1,so
1,so
1,fa#
1,so
1,ra
1,fa
1,so
1,mu
1,re
1,re
1,so
1,ra
2,si
3,si
5,do2
1,do
1,si
1,ra
1,so
1,fa#
1,fa
2,do2
2,si
2,mu
1,si
1,ra
1,so
1,si
1,ra
1,so
1,fa
1,mi
2,re
1,do2
1,si
2,si
1,mu
3,si
1,si
1,mi
1,si
1,ra
6,ra
1,mu
1,ra
1,mi2
1,do2#
1,do2
1,si
1,si
1,mu
1,ra
1,so#
2,so#
1,ra
1,so#
2,so#
1,ra
1,so#
2,so#
2,re
1,do#
1,mu
1,si
1,ra
2,ra
1,si
1,ra
2,ra
1,si
1,ra
2,ra
1,ra
1,so#
1,fa#
1,mu
1,fa#
1,mi
2,re#
1,re#
1,do#
2,si0
1,fa#
1,mi
2,mi
1,si
1,ra
1,mi2
1,mu
1,si
1,ra
2,so#
1,ra
1,so#
2,fa#
1,so#
1,fa#
4,mi
2,mu
1,ra
1,so#
2,so#
1,si
1,ra
2,ra
1,ra
1,so
2,fa#
1,mi
1,re#
4,mi
2,mu
1,mi
1,fa#
2,so#
2,mi
2,si0
1,si
1,ra
2,fa#
2,ra
8,so#
